"","kingdom","phylum","class","order","family","genus","species"
"4d6966326d3b821c542fed5adc550356","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA
"5832a59f987729badc493da79aaaf375","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Streptosporangium",NA
"d67ef66225ee4d45fbc8019127507aea","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes",NA
"988771442aff6bfc123e698073c5c83b","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia",NA
"855e59dcae8d9f6ab33675ac54231dad","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"80a0952f9b7e5c9f17fab6371aada36f","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","uncultured",NA
"4dc5023fdc00f325e169fced16dca21c","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
"4abdbd3b575f49f10c9faaa492cbcd02","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"4ad3cb2fed9b4cb72357432b0864b98c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA
"6af825496c7e9ecdf205fd69d213810b","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"27c3bdd7ff94b8957c3f24026cd40d23","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA
"1fa9d78f06596917e692fdb7bb156ffb","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter","uncultured Acidobacteriales bacterium"
"f097064bd7905fc2c11f65fe99d7ad40","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas",NA
"8d94c62697206215df2d6ff5f508dd05","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"19a752ff09bcea8a026ac6710c758732","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","uncultured Rhodanobacter sp."
"bf8d3f91682082abdfeb5c92c8e08115","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"6cd614b8aee148ea09bb0efbeb8d7646","Bacteria","Firmicutes","Bacilli","Bacillales","Family XII","Exiguobacterium","Exiguobacterium undae"
"73198dc8af953fe93bdc57fd8d6aec21","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter",NA
"785c35d9f8ba6bb48699cb18fb2201fa","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter",NA
"ec1ee006a3f9573e1e2761bf67d9f7ed","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"bfbcbebf05a47b1bbba315124124e59a","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella",NA
"98cedaeb6530038a7c03909a8fffac4d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",NA
"020dfe956e6e2e235703c7a5d833ec20","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia","Ambiguous_taxa"
"8bd823b82e3b2858de25c8eea5cf2884","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"7dda8695aea4947a791acfd7af908a10","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Stenotrophobacter",NA
"35741296dd46211737384c604bed8757","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"0fa81cb9dcb0ac6fcb939cd2e90e1a04","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas rhizophila"
"b8d4e2a7e271fbede5eab4992c3ebd8a","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Ambiguous_taxa"
"4570dcbd057d7993e335098d1e477f86","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter",NA
"f99a6053aeb89ad886d5acae4e1e77b5","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella",NA
"1998a6d5ed1a89a01cdfcf034c19542b","Bacteria","Acidobacteria","Holophagae","Subgroup 7","uncultured candidate division OS-K bacterium","unclassified","unclassified"
"4f33c513e22ad0fce521d4c92e32b204","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xylophilus",NA
"ba63b0f31c182217ace0bd6fc39b027b","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter","Ambiguous_taxa"
"f3b7be2a8954550291ca0a3a0f6b9736","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","Ambiguous_taxa"
"fac05e6b94ba25182950c5904c18b1e8","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"b7a4e91403f1e8a2ced8350f49c47ed7","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"815e9ab615e300f593ffc3b05053511d","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"fd5bde6e0cb69f6216d3854bb68e2bf7","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"363f2ef4d5291ca29fae021cfd02c0f0","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"177dca872985fb62d5456f9e8bac81a2","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter","uncultured bacterium"
"b85edebad9ab4939aeded6ab12b9c130","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"cfe079146ba8f1fffd95b8d624623f6e","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera","Ambiguous_taxa"
"70c6243312653a50a52897b7fc114ef8","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella",NA
"8c3ba0d4fe21adf97df907649dc46fec","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA
"dac7cde071276b6d09faf16d8b9cbb7e","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella",NA
"b6c4c1082ace9fb281be499097504baa","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"c50df3a28f2c5b2ed3fcec3c8c0dbce3","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ac4ff3d7b3e82339e4e9d638b20e5653","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"20ff23552df9cf3f03ec93dfd095b42c","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas rhizophila"
"23bcad2f4965cfd1b60af9b1896f4ced","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"3d255db4eb6ec5d317b5acd55697d605","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"d5e5c4e38f6794430495b03ec5ca8a0e","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Ambiguous_taxa"
"3b673d33b8ea6beb6d9f90ee8f14217d","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"df9f127f34e52758c22bb8768ea9dd1d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"5c4cea951f9d869f622985a8cd96fea2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Serratia plymuthica"
"db85e8a61c57d7efa54cbca2cfdf4035","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",NA
"eb99558377206b12fa191101e11a067b","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas",NA
"d8642cc08ab6aee4ac5d460bea032df1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"f9bd1dfbe4b94f139551974294cbde3f","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","uncultured",NA
"4ac746910c5687d69ca97fca99014781","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Serratia plymuthica"
"73345d5ac716e7b934fd292826804218","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"9196815b810b72750b4235957a0daac5","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium",NA
"6da7f70008c1f6ea06ec66e790132baf","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Ambiguous_taxa"
"acc03f859458053c5d1b96d58efc7b49","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes",NA
"e9dd66dedf0033915619a75ba6593be5","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes",NA
"aa2883b46705f8234fc6877a7bb3ced3","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"2dd06ebdb49575a23be1c14efcd49bdc","Bacteria","Actinobacteria","MB-A2-108","Ambiguous_taxa","unclassified","unclassified","unclassified"
"19ac5386d5c432ec9a03685225315b6c","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","metagenome"
"e55848ba40c2e4f7e893f94198099121","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Ambiguous_taxa"
"5694768266f05a4015228cbe90c7c883","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"70498bd0d5f5953c34840e5fec458ea9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"d73c54bf849a2483f84558503c9decfa","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium","uncultured bacterium"
"cf2dd5047980ea553fd32b289d2b0971","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA
"9251a8ccf8456fe38884b59b62bfe49c","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"b9f59580aff59a1ddb55daec9f7d01dc","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Umezawaea","Ambiguous_taxa"
"de34ba72de36f3b9140ff74b6e54e6f9","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"9646fb40b1761eee12c304072ddf2085","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"480d5fcab09674a29e4adeebb812ff86","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella",NA
"5350bd7d5097ea1cc718775d3344f7ee","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA
"1b5bc069c4ef7eb8e77906c4987ae048","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"86bc86b4a1235b703f437964f885abea","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"5ae2ab7df3ecd335a505fc8958ca3d57","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"47506e0d448606190a18124257b09f92","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA
"bb3a59c0e4457d438010c85f9947c9e5","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"b8da05a28559046435ce96d3b74d0f8c","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"010b1f5910a8b3affca097b0e672aa98","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",NA
"9bbe883e5597f3c109912c46c56f1920","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Acidovorax",NA
"ce0c039cf1fb688c7f0b51bbdb01eee7","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"3824f9e0a64113a65c37dfa77bbeb8d5","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter capsici"
"b99d77fa52cd7636cf08f72481f88493","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"eaa8f22bc82713a74a152047568ecdbb","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"e0077e3f5793dbd67d2f384fddb61f4c","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas chelatiphaga"
"fc09aae0332019d4c733aeeaffb3ab07","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus",NA
"ab4e78932fd19d81b7400e7121747bba","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"4ba306336aa95e7c9a4d3b54e0f83b27","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA
"71957edec56583a4e232c473c75ab39f","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter",NA
"f39c8c3bf8c04abb3747258f02ad743a","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium",NA
"795efd708e8bc53bb600322be309fd73","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101 soil group","uncultured bacterium","unclassified"
"7fa02a1a569053473e535c979f6ae748","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"c1695c539beac6278b3b0c40e8780959","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"a43f948f77c545b8928826317c2b6482","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga",NA
"910fdb9807e509465895e4ef4fb72e7a","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",NA
"7ccd3f1a0e8b115d8af5b6e0b3e9c529","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"efdbd11c934deccccbeb39a2ab2834d2","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"58644f76654df96e51074f0d1f7fd9a8","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"e25e07debbb89c3b92e8aff9546c6674","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","Ambiguous_taxa"
"6ec6c2b4dadcc45c504803b8c14d5ed9","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",NA
"ef033d43c06fabfa053081b65876af2f","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"b176219503c27f050004e3044f795733","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"e6bb66b5a45fe0fda71582bc237bd3df","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","Ambiguous_taxa"
"d9529bc65feec92cac73b97768e16b59","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"e1fc858e3dc36723f83da65c1f6799c2","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","uncultured bacterium"
"f4e37a839717265eda44115061b8ccfd","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"54801ea325b12eaf7ca2c6a8dbdf8881","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",NA
"bff0ecb4d4d6f3f3072ec428c47da15c","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora","Ambiguous_taxa"
"bcbc122a95f0960598ae17d9728eda2f","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis",NA
"2a944bdaff2fcfba0a9e6228e0e33842","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter",NA
"4e075365b29a4cccaca3ce7c91581d39","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Aridibacter","uncultured bacterium"
"4a80b16090ce524e3b94a3ee68fab15e","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","metagenome"
"a1e4538753ba502ff704838b3159647b","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
"b0c3aac042907a51e825a8a79146810e","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter agri"
"bf41bed6dd9c82d9b00ade1c44571d12","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"c2c379deb190ad0189c4fe3a09415242","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"54a82865c7fb0a242e0e52c1629dcfa1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"9ddf05556a3d06fe4b75636fc7a8db68","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured Actinomycetales bacterium"
"765ef99ccd7ee7b4f79ad46040a131c7","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","uncultured soil bacterium"
"59fc2063fdedba631b0e7517e1d4eee2","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"2589eb9a8050ecfcc9b406c801b9245f","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA
"d641d1422558101f892611b0fe1194f0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA
"004f0b9bd7f9e2e21745d6ead183ec7f","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas rhizophila"
"6dc016e912d6b1749a77e79e13a08458","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"e9b701f61b7096cb0d7bb24cb2ba68e2","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas rhizophila"
"b62fa8ff2bd1c3f063ba6bf1ea14833d","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"eb7421211f4d62f3153afd3ce1bc2fde","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas graminis"
"8ee53580789b63e5e2a12003d970ea7c","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"3910607a776521bcbc3845ea6d46c596","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"c281b48a9ac15ab8db31d16fd7f6061a","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"d20ab04f5f4445e4a2f223e601a8e728","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"e65759bb32b426a18e1f1a84883e8593","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia","uncultured beta proteobacterium"
"c4974555e10e6f3e1cdab3f79504a25d","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Sphingobacteriaceae bacterium kmd_018"
"8975b9ea67752ecca5588eeec65675a2","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter",NA
"023292fbb7f8d5c8ba846038b3406ca8","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","uncultured proteobacterium"
"4b8e4f6854fb1fc1b5124fb769161eda","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Bordetella","Ambiguous_taxa"
"b04573d9d9cb298ec5518c5f0c8f17c9","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"87753cf578815d682a498889ca10f8ea","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter",NA
"8bb6ba264b60216d22b221d5c6c0992e","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"02994595d40230239d1a07d1f92406ec","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"0c58d6d3311bbaf97a7ff64c396fed57","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pseudoduganella","uncultured bacterium"
"379499da443d77a87f88667d0cbbe0c6","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"cc8f2e5553448726524f47287292be2d","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA
"0892e5fc342bbdc6968e0d771e007b06","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","Ambiguous_taxa"
"22667e4b3e09b5766d71bdc8acccf7cd","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","Ambiguous_taxa"
"c6b9b2c77a1bc2d200aa8d9bc1e343ff","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"7d7c9c667927521d86d34caa6d0fe80b","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"389d5be6992343de4b247eb0eb34f4eb","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"c4a34bb8a6d5ff5d792111abaf3a5222","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella","Taibaiella sp."
"a27f166174662659ac87da5da668b0f2","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"dded3c70201c56cb8e046e0ac3363ac2","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria","Ambiguous_taxa"
"6350f8f771d0c8a4a2f9bab8f19fbcfc","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis",NA
"80e343d2fad696e8ba5bf4805a0501fa","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured soil bacterium"
"c5ff9bd423e29019da01ba51a8e28ffe","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
"8eeff4fd6dc5dc284395dde6c0434409","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Flavobacterium sp. Ara9"
"9b07b1b47cda60a77a5f9238a3bb6f54","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter",NA
"6cb5789c99b65d573afc7e28181eff73","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella","Ambiguous_taxa"
"7c94d66f0e31cbe08af61742b155c37f","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter",NA
"df9184e59e77c661306ff748e52091ce","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured","Ideonella sp."
"c278b385053cd51bc24e570f73554dbb","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga",NA
"fae264de5f9f937e756340d50c37fe5a","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"0b85d04d31bae6800df285cbbea2976c","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Ambiguous_taxa"
"9f210c9a61a93bdd2f34566cc8ced8f5","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"a30b52d1e97e005448cda3e05f9834d7","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"58c1c609ad8c0cfd9b4ce43a23862dd6","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
